horizon,method,query_budget,accuracy,mean_regret
1,amplitude_estimation,8,0.6666666666666666,0.009796796644331631
1,amplitude_estimation,32,0.75,0.004946596918471949
1,amplitude_estimation,128,0.8958333333333334,0.000442112221719758
1,monte_carlo,8,0.16666666666666666,0.0692259769915138
1,monte_carlo,32,0.4583333333333333,0.037121841162165985
1,monte_carlo,128,0.4791666666666667,0.019028074886093423
2,amplitude_estimation,8,0.8958333333333334,0.0009394124863020048
2,amplitude_estimation,32,0.9166666666666666,0.0024239257468905225
2,amplitude_estimation,128,0.9375,0.0002538163629452423
2,monte_carlo,8,0.14583333333333334,0.058436540432207945
2,monte_carlo,32,0.4791666666666667,0.026035794816167024
2,monte_carlo,128,0.5833333333333334,0.013666683317090679
4,amplitude_estimation,8,1.0,0.0
4,amplitude_estimation,32,1.0,0.0
4,amplitude_estimation,128,1.0,0.0
4,monte_carlo,8,0.3333333333333333,0.0476556688808916
4,monte_carlo,32,0.3333333333333333,0.030683745904863946
4,monte_carlo,128,0.6041666666666666,0.010291576320162003
8,amplitude_estimation,8,1.0,0.0
8,amplitude_estimation,32,1.0,0.0
8,amplitude_estimation,128,1.0,0.0
8,monte_carlo,8,0.16666666666666666,0.05532047689343533
8,monte_carlo,32,0.3958333333333333,0.03665678931649317
8,monte_carlo,128,0.625,0.01224069994209348
12,amplitude_estimation,8,1.0,0.0
12,amplitude_estimation,32,1.0,0.0
12,amplitude_estimation,128,1.0,0.0
12,monte_carlo,8,0.2708333333333333,0.049399637864031974
12,monte_carlo,32,0.3333333333333333,0.03797760427189651
12,monte_carlo,128,0.5416666666666666,0.01590949934962892
