method,query_budget,observable_error,utility_error
amplitude_estimation,8,0.019004938075952674,0.019004938075952674
amplitude_estimation,16,0.008393252515797036,0.008393252515797037
amplitude_estimation,32,0.0043607171094784325,0.004360717109478433
amplitude_estimation,64,0.0025543767408286407,0.0025543767408286407
amplitude_estimation,128,0.0013646291729126486,0.001364629172912648
amplitude_estimation,256,0.0005791921469549263,0.0005791921469549254
monte_carlo,8,0.026586134632280007,0.026586134632280007
monte_carlo,16,0.019617371091127073,0.019617371091127073
monte_carlo,32,0.013657547652018827,0.013657547652018825
monte_carlo,64,0.009193473591935104,0.009193473591935104
monte_carlo,128,0.007583010844525865,0.007583010844525865
monte_carlo,256,0.004752968125578001,0.004752968125578001
