scenario,baseline,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,competitive_extension,mean_abs_utility_error_mean,mean_abs_utility_error_std,mean_rel_utility_error_mean,mean_rel_utility_error_std,mean_abs_fidelity_error_mean,mean_abs_fidelity_error_std,kl_divergence_mean,kl_divergence_std,l2_distribution_error_mean,l2_distribution_error_std,br_match_rate_mean,br_match_rate_std,spearman_rank_correlation_mean,spearman_rank_correlation_std
deep_high_conflict,aggregate,2,4,3,4.0,high,False,0.14517034057490014,0.08947091242959751,1.5552541108272384,1.044825689745258,0.14517034057490014,0.08947091242959751,0.6062567891150057,0.28363914871590173,0.4937338895399453,0.17889552492842561,0.3,0.2581988897471611,0.4416666666666667,0.2815755128972349
deep_high_conflict,mean_field,2,4,3,4.0,high,False,0.09625176160833634,0.06392538837862224,1.3447337096929508,1.254109272815976,0.09625176160833634,0.06392538837862226,0.12736438446650147,0.10303008353243363,0.19155068545889675,0.10071648222964993,0.55,0.43779751788545657,0.6607142857142858,0.23824400114511313
deep_high_conflict,no_mixing,2,4,3,4.0,high,False,0.21649357689246504,0.0808889867586418,3.85568373917409,3.595531738941969,0.21649357689246504,0.0808889867586418,0.3204635914902716,0.2278853156487005,0.3758791103624811,0.1582523097806536,0.3,0.2581988897471611,0.16904761904761906,0.2572212304629162
deep_high_conflict,sampling,2,4,3,4.0,high,False,0.02088469262553366,0.020193548250037035,0.3652250181106679,0.4610395537096264,0.02088469262553366,0.02019354825003704,0.014963859018680756,0.0391071501135309,0.025731607020702447,0.008775775217759886,0.85,0.24152294576982397,0.9488095238095239,0.03766707134947394
deep_high_conflict_competitive,aggregate,2,4,3,4.0,high,True,0.1486590817605607,0.06147762885162605,1.5854595920137353,1.4793519002803208,0.16318070706334842,0.07271371842530672,0.574589780911938,0.36558921594234695,0.5052040469201302,0.2151586423990112,0.4,0.31622776601683794,0.6345238095238097,0.20133170272599835
deep_high_conflict_competitive,mean_field,2,4,3,4.0,high,True,0.04884632260523174,0.01858284943648564,0.48982440161017937,0.24696225237413474,0.04550054672002078,0.01642328712307297,0.17026866134630134,0.16684761394351952,0.18920541894937404,0.11910903275864355,0.6,0.31622776601683794,0.7619047619047621,0.18881551195825907
deep_high_conflict_competitive,no_mixing,2,4,3,4.0,high,True,0.21476162504393378,0.07298177116572735,2.3125243594497573,1.4813124529937678,0.2216492972127666,0.08149964810127638,0.3954581116447603,0.2383816344305368,0.4377134812495392,0.15166838188600792,0.25,0.26352313834736496,0.3047619047619048,0.22561190275035456
deep_high_conflict_competitive,sampling,2,4,3,4.0,high,True,0.010641344757090044,0.010479043552752334,0.13587935074347673,0.1909377798343734,0.010533988825972285,0.009754832138042667,0.003252089265261325,0.0025834602947057417,0.02986975780697098,0.012052224697132302,0.85,0.24152294576982397,0.9595238095238094,0.02522261679693765
no_mixing_low_conflict,aggregate,2,4,0,4.0,low,False,0.1118306943433045,0.07946323198579831,6.309074429324633,15.69571071874101,0.1118306943433045,0.0794632319857983,2.2186712959340958e-32,7.850462293418876e-17,6.905728622313004e-17,5.402326871043295e-17,0.35,0.4116363011742823,0.7250000000000001,0.124662557884765
no_mixing_low_conflict,mean_field,2,4,0,4.0,low,False,6.730727086790011e-17,4.2403650730821843e-17,4.972842974180329e-16,3.5120768935466914e-16,6.123573870198129e-17,4.330288938813176e-17,2.775557561562892e-17,1.0219011763815365e-16,9.007668368096388e-17,5.4481380566698567e-17,1.0,0.0,1.0,0.0
no_mixing_low_conflict,no_mixing,2,4,0,4.0,low,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
no_mixing_low_conflict,sampling,2,4,0,4.0,low,False,0.040806348047056476,0.02523430669497742,4.394770998178694,12.861002283790942,0.040806348047056476,0.025234306694977424,0.014464535910821313,9.344098018210766e-17,0.08005430285905939,6.240719775781537e-17,1.0,0.0,0.9714285714285715,0.025839397771586815
shallow_medium_conflict,aggregate,2,4,1,4.0,medium,False,0.2735234121517393,0.08464750221758414,3.5229032239962406,3.805270893075882,0.27352341215173936,0.08464750221758416,0.32144098119908515,0.21359065556062254,0.3595660281364131,0.13426246177430032,0.35,0.4116363011742823,0.23095238095238096,0.26932724149880105
shallow_medium_conflict,mean_field,2,4,1,4.0,medium,False,0.1662311854390311,0.08835286102884411,3.735098078911973,6.535098102805036,0.1662311854390311,0.08835286102884411,0.2764427105372693,0.16992715729377303,0.3075977127899695,0.11564360575696486,0.55,0.2838231060987733,0.5583333333333333,0.22957300950212323
shallow_medium_conflict,no_mixing,2,4,1,4.0,medium,False,0.3363630458052636,0.14127919343888956,8.372011620479338,12.26246951310374,0.3363630458052636,0.14127919343888956,0.1598880087011075,0.1359915640989157,0.25030487625384523,0.11125081233539486,0.05,0.15811388300841897,0.06785714285714287,0.3293435640324009
shallow_medium_conflict,sampling,2,4,1,4.0,medium,False,0.020802744504655146,0.01811324183636265,0.5582874658773533,0.6351127278263634,0.02080274450465515,0.018113241836362648,0.01279369295937,0.030229667641898515,0.04321307953111779,0.009477047595349345,1.0,0.0,0.9726190476190476,0.022482881705103618
