delta,agent_idx,utility
-0.45,0,-0.29669959771197346
-0.45,1,0.4126940577485136
-0.405,0,-0.2914649513010882
-0.405,1,0.418277853087494
-0.36,0,-0.2858129924299501
-0.36,1,0.423719987151156
-0.315,0,-0.27686318343561367
-0.315,1,0.4283403590666283
-0.27,0,-0.26802262433061097
-0.27,1,0.4328585280511264
-0.22500000000000003,0,-0.2593065508207664
-0.22500000000000003,1,0.43726249715691395
-0.18,0,-0.2507305708781983
-0.18,1,0.441540396980207
-0.135,0,-0.24231063260840785
-0.135,1,0.445680511187494
-0.09000000000000002,0,-0.2340629914450218
-0.09000000000000002,1,0.4496713017836568
-0.04500000000000004,0,-0.22600417673887147
-0.04500000000000004,1,0.4535014340699636
-5.551115123125783e-17,0,-0.21815095780930177
-5.551115123125783e-17,1,0.45715980124059225
0.044999999999999984,0,-0.21052030952669532
0.044999999999999984,1,0.46063554856704
0.09000000000000002,0,-0.20312937749612342
0.09000000000000002,1,0.46391809712060805
0.13499999999999995,0,-0.19599544291284865
0.13499999999999995,1,0.46699716698404603
0.18,0,-0.1891358871610498
0.18,1,0.46986279990443847
0.22499999999999992,0,-0.1825681562276516
0.22499999999999992,1,0.472505381340559
0.26999999999999996,0,-0.17630972500351197
0.26999999999999996,1,0.4749156618590857
0.315,0,-0.16857831727772388
0.315,1,0.47647788122398327
0.35999999999999993,0,-0.1594540213112553
0.35999999999999993,1,0.47717016307611343
0.40499999999999997,0,-0.15032345248910245
0.40499999999999997,1,0.47743503260407133
0.45,0,-0.1412162018223218
0.45,1,0.4772697324708879
